,id,review,target,category,term,polarity
169,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","NULL,vibe,French food","AMBIENCE,AMBIENCE,FOOD",vibe!good|food!best|bit!vibe,"neutral,positive,positive"
170,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","neighborhood,food","AMBIENCE,FOOD",neighborhood!great|saul!great|food!great,"positive,positive"
171,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"setting,service,NULL","AMBIENCE,SERVICE",setting!intimate|service!intimate,"positive,positive,positive"
172,1221938:3,Downstairs lounge is always a good attraction,Downstairs lounge,AMBIENCE,lounge!attraction,positive
173,1225162:0,"Raga's is a romantic, cozy restaurant.",Raga's,AMBIENCE,restaurant!romantic|raga!romantic,positive
174,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one","service,food,NULL","SERVICE,FOOD",service!rude|food!rude,"negative,neutral,negative"
175,1230993:1,I loved everythig about it-especially the shows and actors.,"NULL,shows,actors","AMBIENCE,AMBIENCE",everythig!loved,"positive,positive,positive"
176,1230993:2,Our server was very helpful and friendly.,server,SERVICE,server!helpful,positive
177,1230993:4,The food was good too.,food,FOOD,food!good,positive
178,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,AMBIENCE,atmosphere!wonderful|evening!cool|avenue!6th,positive
179,1232468:3,Service was prompt and courteous.,Service,SERVICE,service!prompt,positive
180,1241906:0,"Great service, great food.","service,food","SERVICE,FOOD",service!great|food!great,"positive,positive"
181,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","pizza,fresh mozzarella","FOOD,FOOD",pizza!delicious|mozzarella!fresh|cheese!mozzarella|pizzaria!most,"positive,positive"
182,1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection,FOOD,selection!stinks|appetizer!stinks|complaints!selection,negative
183,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,"Wait staff,pie","SERVICE,FOOD",pie!best|uws!best|staff!unappreciative|business!pie,"negative,positive"
184,1256373:0,By far the best salad I have had in a fast food restaurant.,salad,FOOD,salad!best|food!fast|restaurant!fast,positive
185,1256373:1,fine dining restaurant quality.,dining,FOOD,quality!fine|dining!fine|restaurant!fine,positive
186,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,bagels,FOOD,bagels!freeze,positive
187,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",Service,SERVICE,service!good,positive
188,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","Food,pork belly","FOOD,FOOD",food!good|experience!fat|fat!more,"positive,negative"
189,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"Wine list selection,wine-by-the-glass","FOOD,FOOD",selection!good|wine!good|list!good,"positive,positive"
190,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"Traditional French decour,hall","AMBIENCE,AMBIENCE",decour!pleasant|hall!noisy|restaurant!full,"positive,negative"
191,1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","decor,semi-private boths","AMBIENCE,AMBIENCE",decor!vibrant|boths!right|side!right|side!several|hall!right,"positive,positive"
192,1286916:3,It's simply the best meal in NYC.,meal,FOOD,meal!best|nyc!best,positive
193,1289424:3,The server was really cool and served us our food and drinks with a smile.,server,SERVICE,server!cool,positive
194,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,"decor,hidden bathrooms","AMBIENCE,AMBIENCE",laugh!good|bathrooms!hidden|decor!hidden,"positive,positive"
195,1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","beers,food,pumkin tortelini","FOOD,FOOD,FOOD",husband!happy|tortelini!recommend|beers!different|food!delicious|dish!recommend,"positive,positive,positive"
196,1308557:0,The service was the only thing good about this restaurant.,"service,restaurant",SERVICE,thing!good|service!good|restaurant!thing,"positive,negative"
197,1335154:1,"Great vibe, lots of people.",vibe,AMBIENCE,vibe!great|lots!great,positive
198,1335154:4,"I didn't complain, I liked the atmosphere so much.",atmosphere,AMBIENCE,atmosphere!liked,positive
199,1335656:2,"Ambience is so cute and quaint, good for business although we were there on vacation.","Ambience,NULL",AMBIENCE,ambience!cute,"positive,positive"
200,1340075:2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,"atmosphere,waiters","AMBIENCE,SERVICE",atmosphere!noisy,"negative,positive"
201,1340075:5,The takeout is great too since they give high quality tupperware as well.,takeout,SERVICE,takeout!great|tupperware!high|quality!high,positive
202,1347423:2,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,Manager,SERVICE,visit!-|manager!-,positive
203,1357554:4,It's a nice place to relax and have conversation.,place,AMBIENCE,place!nice,positive
204,1380450:2,Service was also horrible and the ambience is not that great.,"Service,ambience","SERVICE,AMBIENCE",service!horrible|ambience!great,"negative,negative"
205,1387314:4,It's a small cute restaurant.,restaurant,AMBIENCE,restaurant!cute,positive
206,1394712:4,"However, I think this place is a good hang out spot.",place,AMBIENCE,place!good|spot!hang,positive
207,1398844:6,Somehow working the italian charm with constant mille grazie does not constitute proper service.,service,SERVICE,service!proper|grazie!charm,negative
208,1404042:3,"Cute place, nice wait staff but would never go there again.","wait staff,place,place","SERVICE,AMBIENCE",place!cute|staff!cute|wait!nice,"positive,positive,negative"
209,1413697:2,The place is so cool and the service is prompt and curtious.,"service,place","SERVICE,AMBIENCE",place!cool|service!prompt,"positive,positive"
210,1417496:2,The dining room is quietly elegant with no music to shout over -- how refreshing!,dining room,AMBIENCE,room!elegant|dining!elegant|music!refreshing,positive
211,1417496:3,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","service,staff","SERVICE,SERVICE",service!impeccable|meal!present|menu!present,"positive,positive"
212,1430994:0,The view is breathtaking the service is top notch... the ambiance is wonderfull.,"view,service,ambiance","AMBIENCE,SERVICE,AMBIENCE",view!breathtaking|service!top|notch!top|wonderfull!top,"positive,positive,positive"
213,1430994:1,The staff offers impeccable service.,staff,SERVICE,service!impeccable|staff!service,positive
214,1457607:2,The characters really make for an enjoyable experience.,characters,AMBIENCE,experience!enjoyable,positive
215,1459569:1,Service was slow had to wait to order and get food although not crowded.,Service,SERVICE,service!slow,negative
216,1500453:1,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,"trattoria,trattoria",AMBIENCE,trattoria!top|top!quaint,"positive,positive"
217,1538149:3,The service was excellent - friendly and attentive.,service,SERVICE,service!excellent,positive
218,1543345:3,Great staff.,staff,SERVICE,staff!great,positive
219,1543345:4,Always great service!,service,SERVICE,service!great,positive
220,1561259:1,But the staff was so horrible to us.,staff,SERVICE,staff!horrible,negative
221,1572033:1,Decor is nice though service can be spotty.,"Decor,service","AMBIENCE,SERVICE",decor!nice|service!spotty,"positive,negative"
222,1586174:6,the waitstaffs are nice though.,waitstaffs,SERVICE,waitstaffs!nice,positive
223,1603698:2,"Both times I was extremely dissappointed by the service, which was boarderline rude.",service,SERVICE,times!dissappointed|service!times,negative
224,1609375:2,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!","svc,restaurant",SERVICE,svc!rude|group!big|bit!svc|times!svc|esp!svc,"negative,positive"
225,1611489:3,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","atmosphere,NULL",AMBIENCE,experience!disappointing|desk!disappointing|atmosphere!experience,"positive,negative"
226,1615322:4,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,AMBIENCE,seats!uncomfortable,negative
227,1615322:5,It's a rather cramped and busy restaurant and it closes early.,"restaurant,restaurant",AMBIENCE,restaurant!cramped,"negative,negative"
228,1623276:0,Patroon features a nice cigar bar and has great staff.,"cigar bar,staff","AMBIENCE,SERVICE",bar!nice|cigar!nice|staff!great|patroon!bar,"positive,positive"
229,1632445:3,The service is good and ambience is good for a date or group outing.,"service,ambience","SERVICE,AMBIENCE",service!good|ambience!good|date!service|outing!date|group!date,"positive,positive"
230,1632929:5,Truly the mark of an attentive waiter.,waiter,SERVICE,waiter!attentive|mark!attentive,positive
231,1655521:1,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,AMBIENCE,atmosphere!great|hesititate!hate,positive
232,1660047:3,"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.",manager,SERVICE,things!work|thing!only|tips!only|america!things,negative
233,1660047:5,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.","staff,Cafe Noir",SERVICE,staff!good|place!great,"negative,positive"
234,1662726:0,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,customer service,SERVICE,experience!worst|customer!worst|service!worst|weeks!experience|restaurant!worst,negative
235,1671113:3,"If the weather is nice, try to snag an outside table.",outside table,AMBIENCE,weather!nice|table!snag|snag!outside,positive
236,1702257:3,Friendly staff that actually lets you enjoy your meal and the company you're with.,staff,SERVICE,staff!friendly|company!enjoy|meal!enjoy,positive
237,1706644:4,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.","back patio,music","AMBIENCE,AMBIENCE",patio!back,"positive,positive"
238,1707201:2,The place was nice and calm.,place,AMBIENCE,place!nice,positive
239,1727363:2,An excellent service,service,SERVICE,service!excellent,positive
240,1730127:2,"Always a nice crowd, but never loud.","crowd,NULL",AMBIENCE,crowd!nice,"positive,positive"
241,430342:1,"Kind, attentive wait staff.",wait staff,SERVICE,staff!attentive|wait!attentive,positive
242,436868:3,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.","place,room,clerks","AMBIENCE,SERVICE",room!unattractive|clerks!unattractive|style!more|substance!more|folks!style,"negative,negative,negative"
243,445960:0,"This is such a lovely, peaceful place to eat outside.",place,AMBIENCE,place!lovely,positive
244,445960:1,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,restaurant,AMBIENCE,lawns!beautiful,positive
245,445960:4,"This is a great place to take out-of-towners, and perfect for watching the sunset.",place,AMBIENCE,place!great,positive
246,475298:0,"Good, fast service.",service,SERVICE,service!good,positive
247,475512:2,"Well, this place is so Ghetto its not even funny.",place,AMBIENCE,place!ghetto,negative
248,476473:2,Great atmoshere and worth every bit.,"atmoshere,NULL",AMBIENCE,atmoshere!great|bit!great,"positive,positive"
249,483111:0,Winnie and her staff are the best crew you can find serving you.,"staff,Winnie","SERVICE,SERVICE",crew!best|winnie!best|staff!winnie|staff!crew,"positive,positive"
250,485966:1,The place was quiet and delightful.,place,AMBIENCE,place!quiet,positive
251,490565:1,"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",wait staff,SERVICE,staff!pleasant|wait!pleasant|part!most|beautification!wonderful|fun!staff|way!wonderful|way!wonderful,positive
252,490565:3,"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",late night atmosphere,AMBIENCE,part!best|atmosphere!best|ls!best|bts!atmosphere|night!late,positive
253,493013:6,In summer-eat outside on a terrace (another great feature of Suan)!!!,terrace,AMBIENCE,feature!great|terrace!great|suan!great,positive
254,498657:4,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.","wait,atmosphere,NULL","SERVICE,AMBIENCE",sum!dim|atmosphere!dim|wait!long|gig!typical|alternative!wait|tables!like|chinatown!sleek,"negative,negative,negative"
255,503807:5,The service was friendly and the atmosphere was casual.,"service,atmosphere","SERVICE,AMBIENCE",service!friendly|atmosphere!casual,"positive,neutral"
256,507844:0,This place would be so much better served by being run by a group that actually understands customer service.,customer service,SERVICE,place!better,negative
257,507844:4,"Terrible, terrible management - deserves to be shut-down.","management,NULL",SERVICE,management!terrible,"negative,negative"
258,507937:3,Service is fast and friendly.,Service,SERVICE,service!fast,positive
259,511290:4,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,"ambience,staff","AMBIENCE,SERVICE",ambience!correct|staff!correct|time!same|place!ambience,"positive,positive"
260,512925:2,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!","place,service","AMBIENCE,SERVICE",place!romantic,"positive,positive"
261,513521:2,Drawbacks: service is slow and they don't toast!,service,SERVICE,service!slow|drawbacks!service|toast!service,negative
262,519425:4,The place itself is beautiful the bar scene seems to be happening.,"place,bar scene","AMBIENCE,AMBIENCE",place!beautiful,"positive,positive"
263,541532:0,Cozy romantic atomosphere with only around 15 tables at most.,atomosphere,AMBIENCE,atomosphere!cozy|tables!cozy,positive
264,541532:1,Service was very prompt but slightly rushed.,"Service,Service","SERVICE,SERVICE",service!prompt,"positive,negative"
265,610611:4,"service is friendly, and never had a problem walking in and getting a table.","service,NULL",SERVICE,service!friendly,"positive,positive"
266,620892:5,"Service, however, was excellent...and I liked the setting/atmosphere a lot. ","Service,setting/atmosphere","SERVICE,AMBIENCE",service!excellent|lot!liked|setting/atmosphere!liked,"positive,positive"
267,632121:3,"Best of all is the warm vibe, the owner is super friendly and service is fast.","vibe,owner,service","AMBIENCE,SERVICE,SERVICE",vibe!best|owner!friendly|service!fast,"positive,positive,positive"
268,657129:4,"Ask for Usha, the nicest bartender in manhattan.",Usha,SERVICE,bartender!nicest|manhattan!nicest|usha!bartender,positive
269,680390:0,"Toons has recently been redone, so it's now a very attractive space.",Toons,AMBIENCE,space!attractive|redone!attractive,positive
270,682391:2,The service is good and the resturant is clean.,"service,resturant","SERVICE,AMBIENCE",service!good|resturant!clean,"positive,positive"
271,707917:2,Rao's has the best service and atmosphere in NYC.,"service,atmosphere","SERVICE,AMBIENCE",service!best|atmosphere!best|nyc!best|rao!service,"positive,positive"
272,709294:1,"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",outdoor seating,AMBIENCE,seating!perfect|delight!seating,positive
273,709294:2,Indoor was very cozy and cute.,Indoor,AMBIENCE,indoor!-,positive
274,737999:3,Atmosphere is nice and relaxed too...,Atmosphere,AMBIENCE,atmosphere!nice,positive
275,746254:0,We were seated outside and the waiter spilled red wine and hot tea on myself and my date.,waiter,SERVICE,tea!hot|wine!hot,negative
276,746254:2,"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.",waiter,SERVICE,drinks!complimentary|apology!complimentary|waiter!snobby|order!waiter|minutes!waiter,negative
277,757762:1,The only problem is that the manager is a complete incompetent.,manager,SERVICE,manager!incompetent,negative
278,757762:5,There is no excuse for such lousy service!,service,SERVICE,service!lousy|excuse!lousy,negative
279,773720:2,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,"service,place","SERVICE,AMBIENCE",questions!like|kind!typical|water!typical|service!good,"positive,positive"
280,872763:4,There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.,delivery guys,SERVICE,downside!-|delivery!-|guys!-|attitude!-,negative
281,875139:0,"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.","scene,place,location","AMBIENCE,AMBIENCE,AMBIENCE",scene!love|character!nice|light!nice|place!character,"positive,positive,positive"
282,935633:4,I recieved prompt service with a smile.,service,SERVICE,service!prompt|smile!service,positive
283,955711:2,LOVE the atmosphere - felt like I was in Paris.,atmosphere,AMBIENCE,atmosphere!love|paris!atmosphere,positive
284,957145:1,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,"service,staff","SERVICE,SERVICE",things!good|nothing!good|staff!great|service!great,"positive,positive"
285,957145:2,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.","Vittorio,crew","SERVICE,SERVICE",visitor!consistent|business!gem|gem!visitor,"positive,positive"
286,EVPK#10:1,I was visiting New York City with a friend and we discovered this really warm and inviting restaurant.,restaurant,AMBIENCE,restaurant!warm|city!new|friend!city,positive
287,Y#7:3,Have never had a problem with service save a missing rice once.,service,SERVICE,rice!problem|problem!rice,positive
288,TR#3:0,Great place to relax and enjoy your dinner,place,AMBIENCE,place!great,positive
289,TM#7:2,The wait staff is very courteous and accomodating.,wait staff,SERVICE,staff!courteous|wait!courteous,positive
290,PP#4:4,I thought the restaurant was nice and clean.,"restaurant,restaurant",AMBIENCE,restaurant!nice,"positive,positive"
291,Y#5:4,The waitress was not attentive at all.,waitress,SERVICE,waitress!attentive,negative
292,TR#1:3,I highly recommend this beautiful place.,"place,place",AMBIENCE,place!recommend,"positive,positive"
293,TR#8:6,Nice view of river and NYC.,view of river and NYC,AMBIENCE,view!nice|river!nice|nyc!river,positive
294,BG#1:2,Great survice,survice,SERVICE,survice!great,positive
295,TFS#10:9,"All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.","restaurant,restaurant,staff","AMBIENCE,SERVICE",restaurant!beautiful|attention!more|future!little|staff!attention|details!little,"positive,positive,negative"
296,Z#9:1,The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.,boths,AMBIENCE,boths!small,positive
297,Z#9:2,The service was extremely fast and attentive(thanks to the service button on your table) but I barely understood 1 word when the waiter took our order.,"service,service button,waiter","SERVICE,SERVICE,SERVICE",service!fast|button!fast|thanks!service|word!service,"positive,positive,negative"
298,NP#3:5,This is the first place I've been that a runner remembers my order... hope he likes his job because I have half a mind to steal him for my restaurant.,runner,SERVICE,job!likes|place!first|hope!first,positive
299,NP#4:10,"For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.","restaurant,customer service",SERVICE,service!intelligent|lack!reputation|reputation!lack|customer!intelligent,"positive,negative"
300,TFS#5:26,The environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts.,"environment,NULL",AMBIENCE,environment!upscale|lot!rich|guys!rich|wives!lot|escorts!wives,"neutral,neutral"
301,CLF#7:0,Gorgeous place ideal for a romantic dinner,"place,place",AMBIENCE,dinner!romantic|ideal!romantic,"positive,positive"
302,CLF#7:3,The service was spectacular as the waiter knew everything about the menu and his recommendations were amazing!,"service,waiter","SERVICE,SERVICE",service!spectacular|menu!amazing|everything!amazing|recommendations!menu,"positive,positive"
303,DBG#7:10,The real problem I had with this place was the complete lack of service.,service,SERVICE,place!problem|lack!problem,negative
304,Z#6:0,Possibly the Most Romantic Restaurant in the City,Restaurant,AMBIENCE,restaurant!romantic|city!romantic,positive
305,Z#6:1,"This is undoubtedly my favorite modern Japanese brasserie (that don’t serve sushi), and in my opinion, one of the most romantic restaurants in the city!","modern Japanese brasserie,modern Japanese brasserie",AMBIENCE,brasserie!favorite|opinion!favorite|restaurants!romantic|city!romantic,"positive,positive"
306,Z#6:2,"Not only is it an adventure getting to this somewhat hidden spot, once you enter the unmarked wooden doors, the zen and intimate décor will make you feel like you’re no longer in the city.","spot,unmarked wooden doors,décor","AMBIENCE,AMBIENCE,AMBIENCE",décor!intimate|zen!intimate|spot!hidden,"neutral,positive,positive"
307,Z#6:4,It’s just you and your date and an occasional cute ‘excuse me’ before the waiter opens the little curtain to your booth!,"NULL,waiter","AMBIENCE,SERVICE",curtain!little|waiter!curtain|booth!waiter,"positive,positive"
308,Z#7:2,"This place has totally weird decor, stairs going up with mirrored walls - I am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional...","decor,mirrored walls","AMBIENCE,AMBIENCE",decor!weird|stairs!weird|one!broke|place!decor|head!broke,"negative,negative"
309,Z#10:3,Over all it was a very nice romantic place .,"place,place",AMBIENCE,place!nice,"positive,positive"
310,P#7:7,"Regardless, we'll be back and can't wait to visit in the summer to take advantage of the patio.","patio,NULL",AMBIENCE,patio!advantage,"positive,positive"
311,FF#4:3,The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention.,servers,SERVICE,technique!ghastly,negative
312,FF#3:10,"At this point, the waitress comes over and asks us if everything was okay, I was literally so shocked that I was speechless and didn't say anything, and guess what, the waitress WALKED away.",waitress,SERVICE,everything!okay,negative
313,CLF#4:11,It is quite a spectacular scene i'll give them that.,scene,AMBIENCE,scene!spectacular,positive
314,ADLT#6:4,"This guy refused to seat her and she left, followed shortly by the four of us, but not before I told him that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant.",frontman,SERVICE,guy!refused|display!bad|behavior!bad|seat!guy|years!display|frontman!display,negative
315,ADLT#6:6,"A word to the wise: you can't dine here and disturb the maitre-D's sense of "" table turnover"", as whacked as it is, or else.",maitre-D,SERVICE,sense!disturb|maitre-d!disturb|turnover!disturb,negative
316,P#3:0,Great Atmosphere,Atmosphere,AMBIENCE,atmosphere!great,positive
317,P#3:3,"Cool atmosphere, the fire place in the back really ads to it but needs a bit more heat throughout on a cold night.","atmosphere,fire place,NULL","AMBIENCE,AMBIENCE,AMBIENCE",atmosphere!cool|ads!cool|heat!more|fire!ads|night!cold|bit!heat,"positive,positive,negative"
318,CLF#8:0,Poor service and management,"service,management","SERVICE,SERVICE",service!poor|management!poor,"negative,negative"
319,CLF#8:6,The manager was rude and handled the situation extremely poorly.,manager,SERVICE,manager!rude,negative
320,ADLT#11:4,"Mistakes happen, but they are usually accompanied by an apology, perhaps even a glass of wine...but not the grunt that we received from the Al Di La staff.",staff,SERVICE,mistakes!-|apology!-|glass!-|wine!-|grunt!-|al!-|di!-|la!-|staff!-,negative
321,FF#6:5,The hostess was rude and I got a distinct feeling that they did not want to serve us.,"hostess,NULL","SERVICE,SERVICE",hostess!rude,"negative,negative"
322,FF#10:0,bad staff,staff,SERVICE,staff!bad,negative
323,FF#10:8,"The waitress came to check in on us every few minutes, and began to clear the plates while half of us were still eating (a big pet peeve of mine that happens almost everywhere, so I try to ignore it).",waitress,SERVICE,plates!clear|half!peeve|peeve!half|minutes!few,negative
324,FF#10:11,"I wish I could like this place more, and I wish someone would retrain the staff.","place,staff",SERVICE,place!like|wish!like|someone!like|staff!someone,"negative,negative"
