,id,review,target,category,term
225,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,"food,prixe fixe tasting menu,prixe fixe tasting menu,NULL","PRICES,FOOD,PRICES,SERVICE",food|prixe|fixe|tasting|menu|food|price|food|food|allergies|food
226,1448587:3,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",decor,AMBIENCE,decor|place|kind|place|East|Village
227,1451107:0,This place is so much fun.,place,AMBIENCE,place
228,1451107:6,The staff was the friendliest that have seen in New York.,staff,SERVICE,staff|York
229,1457607:0,The place is a lot of fun.,place,AMBIENCE,place
230,1457607:2,The characters really make for an enjoyable experience.,characters,AMBIENCE,characters|experience
231,1459569:1,Service was slow had to wait to order and get food although not crowded.,Service,SERVICE,Service|food
232,1459569:2,Drinks way over priced.,Drinks,PRICES,Drinks
233,1460715:1,Service was quick.,Service,SERVICE,Service
234,1470286:1,Delivery is fast too.,Delivery,SERVICE,Delivery
235,1471273:3,Prices too high for this cramped and unappealing resturant.,"resturant,resturant","PRICES,AMBIENCE",Prices|resturant
236,1471273:4,Zero ambiance to boot.,ambiance,AMBIENCE,Zero|ambiance|boot
237,1476493:2,"The ambience was nice, but service wasn't so great.","ambience,service","AMBIENCE,SERVICE",ambience|service
238,1486041:0,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",atmosphere,AMBIENCE,atmosphere|Sushi|establishment|Tokyo
239,1486041:1,The owner and staff are all Japanese as well and that adds to the entire ambiance.,"owner,staff,ambiance",AMBIENCE,owner|staff|ambiance
240,1490757:2,The prices were CHEAP compared to the quality of service and food.,"NULL,service,food","PRICES,SERVICE,FOOD",prices|quality|service|food
241,1496205:5,"The service is ok, some of the people didn't get what they asked for.",service,SERVICE,service|people
242,1500453:1,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,"trattoria,trattoria",AMBIENCE,trattoria|Manhattan|restaurant|list
243,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.","food,wine,food,wine","FOOD,FOOD,PRICES,PRICES",secret|years|Emilio|Godfather|food|wine|gods|prices
244,1506491:2,Check out the secret back room.,back room,AMBIENCE,secret|room
245,1538149:0,"I found the food, service and value exceptional everytime I have been there.","food,service,NULL","FOOD,SERVICE,PRICES",food|service|value
246,1538149:3,The service was excellent - friendly and attentive.,service,SERVICE,service
247,1543345:3,Great staff.,staff,SERVICE,staff
248,1543345:4,Always great service!,service,SERVICE,service
249,1561259:1,But the staff was so horrible to us.,staff,SERVICE,staff
250,1561259:2,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,"hostess,waitress","SERVICE,SERVICE",hostess|waitress
251,1561259:3,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,waitress,SERVICE,dessert|waitress|bill|chance|order
252,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.","place,food,service","PRICES,FOOD,SERVICE",place|food|service|quater|price
253,1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,"dishes,dishes","FOOD,PRICES",week|dishes
254,1572033:1,Decor is nice though service can be spotty.,"Decor,service","AMBIENCE,SERVICE",Decor|service
255,1586174:6,the waitstaffs are nice though.,waitstaffs,SERVICE,waitstaffs
256,1603698:2,"Both times I was extremely dissappointed by the service, which was boarderline rude.",service,SERVICE,service
257,1606837:2,The service was attentive.,service,SERVICE,service
258,1609375:2,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!","svc,restaurant",SERVICE,group|restaurant
259,1609375:3,"Try the Pad Thai, it's fabulous and their prices are so cheap!","Pad Thai,NULL","FOOD,PRICES",Thai|prices
260,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!","portions,food,NULL","FOOD,FOOD,PRICES",portions|food
261,1611489:1,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","sandwiches,sandwiches","FOOD,PRICES",sandwiches|chips|side
262,1611489:3,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","atmosphere,NULL",AMBIENCE,Eating|atmosphere|desk|experience
263,1615322:2,They have authentic Indian at amazin prices.,"Indian,Indian","FOOD,PRICES",amazin|prices
264,1615322:4,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,AMBIENCE,seats|wall|benches
265,1615322:5,It's a rather cramped and busy restaurant and it closes early.,"restaurant,restaurant",AMBIENCE,restaurant
266,1623276:0,Patroon features a nice cigar bar and has great staff.,"cigar bar,staff","AMBIENCE,SERVICE",Patroon|cigar|staff
267,1626564:3,Waitstaff are very friendly.,Waitstaff,SERVICE,Waitstaff
268,1632445:3,The service is good and ambience is good for a date or group outing.,"service,ambience","SERVICE,AMBIENCE",service|ambience|date|group|outing
269,1632445:4,The only fallback on this restaurant is the prices.,restaurant,PRICES,fallback|restaurant|prices
270,1632445:5,"Even though its good seafood, the prices are too high.","seafood,seafood","FOOD,PRICES",seafood|prices
271,1632445:6,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"lobster sandwich,lobster sandwich,lobster sandwich","FOOD,FOOD,PRICES",lobster|sandwich|price
272,1632929:4,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter,SERVICE,dessert|candle|anyone|waiter|birthday|card|gift|occassion|sort
273,1632929:5,Truly the mark of an attentive waiter.,waiter,SERVICE,mark|waiter
274,1649025:2,The food is so cheap and the waiters are nice.,"food,waiters","PRICES,SERVICE",food|waiters
275,1655504:1,Cheese plate is a varied delight and great bargain at $10.,"Cheese plate,Cheese plate,Cheese plate","FOOD,FOOD,PRICES",Cheese|plate|delight|bargain
276,1655504:4,Wine list is extensive without being over-priced.,"Wine list,Wine list","FOOD,PRICES",Wine|list
277,1655521:1,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,AMBIENCE,review|atmosphere
278,1655521:2,"The food was very good, a great deal, and the place its self was great.","food,food,place","FOOD,PRICES,AMBIENCE",food|deal|place|self
279,1655521:3,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",wait staff,SERVICE,wait|staff|town
280,1660047:0,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!","people,Cafe Noir",SERVICE,Cafe|Noir|dont|jsut|people
281,1660047:1,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",service,SERVICE,service|people
282,1660047:2,"The waitress, seems to be more concerned of looking good than actually waitressing.",waitress,SERVICE,waitress
283,1660047:3,"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.",manager,SERVICE,dinner|manager|boyfriend|America|tips
284,1660047:4,"We did tip, I guess the model/waitress just wanted more and complained to the manager.",waitress,SERVICE,model/waitress|manager
285,1660047:5,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.","staff,Cafe Noir",SERVICE,Cafe|Noir|staff|place
286,1661043:4,Decor is charming.,Decor,AMBIENCE,Decor
287,1661043:5,Service is average.,Service,SERVICE,Service
288,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.","ambience,NULL,food","AMBIENCE,PRICES,FOOD",ambience|prices|fact|food
289,1662726:0,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,customer service,SERVICE,weeks|customer|service|experience|restaurant
290,1662726:1,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",gentleman,SERVICE,gentleman|manager|table|smile|order
291,1671113:1,The food is great and reasonably priced.,"food,food","FOOD,PRICES",food
292,1671113:2,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,SERVICE,reservations|hostess|name
293,1671113:3,"If the weather is nice, try to snag an outside table.",outside table,AMBIENCE,weather|snag|table
294,1671113:4,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.","staff,staff,unisex bathroom","SERVICE,SERVICE,AMBIENCE",staff|bathroom
295,1700205:2,"Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.",waitstaff,SERVICE,patrons|closing|waitstaff
296,1702257:3,Friendly staff that actually lets you enjoy your meal and the company you're with.,staff,SERVICE,staff|meal|company
297,1706644:4,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.","back patio,music","AMBIENCE,AMBIENCE",patio|music
298,1707201:2,The place was nice and calm.,place,AMBIENCE,place
299,1707201:3,but the service was a bit slow.,service,SERVICE,service
300,1707741:3,Service was also very good.,Service,SERVICE,Service
301,1718513:3,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",back garden sitting area,AMBIENCE,garden|area|herb|garden
302,1727363:1,This is a wonderful place on all stand points especially value ofr money.,"place,place",PRICES,place|points|value|money
303,1727363:2,An excellent service,service,SERVICE,service
304,1728733:1,We were greeted promptly by the waiter who was very nice and cordial.,waiter,SERVICE,waiter
305,1730127:2,"Always a nice crowd, but never loud.","crowd,NULL",AMBIENCE,crowd
306,1748813:1,All of the pizzas are terrific and the price is even better!,"pizzas,pizzas","FOOD,PRICES",pizzas|price
307,1748839:1,"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",waiter,SERVICE,waiter|money|guys|outta
308,404464:3,I expected quite a bit more from such an expensive menu.,"menu,menu","PRICES,FOOD",menu
309,426930:0,Authentic Taiwanese food that's cheap... what more could you ask for?,"Taiwanese food,Taiwanese food","FOOD,PRICES",food
310,430342:1,"Kind, attentive wait staff.",wait staff,SERVICE,Kind|wait|staff
311,433878:3,The counter service is bad.,counter service,SERVICE,service
312,436868:2,"The sandwiches are dry, tasteless and way overpriced.","sandwiches,sandwiches","FOOD,PRICES",sandwiches
313,436868:3,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.","place,room,clerks","AMBIENCE,SERVICE",place|Hampton|Chutney|folks|style|substance|room|clerks|dearth
314,445960:0,"This is such a lovely, peaceful place to eat outside.",place,AMBIENCE,place
315,445960:1,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,restaurant,AMBIENCE,restaurant|lawns|Hudson|River|Statue|Liberty
316,445960:4,"This is a great place to take out-of-towners, and perfect for watching the sunset.",place,AMBIENCE,place|out-of-towners|sunset
317,449802:5,But who says Murray's is anything about service.,service,SERVICE,Murray|service
318,454704:1,The service is awful.,service,SERVICE,service
319,454704:2,This place is not worth the prices.,"place,place",PRICES,place|prices
320,464342:1,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,manager,SERVICE,cheese|sandwich|manager|business
321,475298:0,"Good, fast service.",service,SERVICE,service
322,475298:2,Food is great and inexpensive.,"Food,Food","FOOD,PRICES",Food
323,475298:3,The location is perfect.,location,AMBIENCE,location
324,475512:2,"Well, this place is so Ghetto its not even funny.",place,AMBIENCE,place|Ghetto
325,475512:3,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"bottle minimun,music","PRICES,AMBIENCE",music|system|isnt|dollar|bottle|minimun
326,476473:2,Great atmoshere and worth every bit.,"atmoshere,NULL",AMBIENCE,atmoshere
327,483111:0,Winnie and her staff are the best crew you can find serving you.,"staff,Winnie","SERVICE,SERVICE",Winnie|staff|crew
328,483111:1,The food is reliable and the price is moderate.,"food,NULL","FOOD,PRICES",food|price
329,485767:1,"The service was attentive, yet discreet.",service,SERVICE,service
330,485966:1,The place was quiet and delightful.,place,AMBIENCE,place
331,490565:1,"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",wait staff,SERVICE,wait|staff|part|beautification
332,490565:3,"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",late night atmosphere,AMBIENCE,part|night|atmosphere
333,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.","martini,martini,martini,Vanilla Shanty,setting,music","FOOD,FOOD,PRICES,FOOD,AMBIENCE,AMBIENCE",martini|glass|drinks|Vanilla|Shanty|mmmm
334,490565:5,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",in-house lady DJ,AMBIENCE,lady|Saturday|nights|taste|music|requests
335,493013:1,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.","location,Suan","AMBIENCE,PRICES",location|fact|Hutner|College|prices|students|Suan
336,493013:6,In summer-eat outside on a terrace (another great feature of Suan)!!!,terrace,AMBIENCE,summer-eat|outside|terrace|feature|Suan
337,493514:0,I cannot imagine a friendlier staff working in a restaurant.,staff,SERVICE,staff|restaurant
338,496132:1,The setting is casual and romantic.,setting,AMBIENCE,setting
339,498657:2,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.","dim sum,dim sum","PRICES,FOOD",rest|Chinatown|standards
340,498657:4,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.","wait,atmosphere,NULL","SERVICE,AMBIENCE",wait|tables|atmosphere|Chinatown|alternative
341,503807:5,The service was friendly and the atmosphere was casual.,"service,atmosphere","SERVICE,AMBIENCE",service|atmosphere
342,505535:0,this little place has a cute interior decor and affordable city prices.,"interior decor,place","AMBIENCE,PRICES",place|decor|city|prices
343,507844:0,This place would be so much better served by being run by a group that actually understands customer service.,customer service,SERVICE,place|group|customer|service
344,507844:4,"Terrible, terrible management - deserves to be shut-down.","management,NULL",SERVICE,management
345,507937:2,Spreads and toppings are great - though a bit pricey.,"Spreads,toppings,Spreads,toppings","FOOD,FOOD,PRICES,PRICES",Spreads|toppings
346,507937:3,Service is fast and friendly.,Service,SERVICE,Service
347,511290:4,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,"ambience,staff","AMBIENCE,SERVICE",place|ambience|staff|guest|friend
348,512294:0,"Great food, great prices, great service.","food,NULL,service","FOOD,PRICES,SERVICE",food|prices|service
349,512294:1,"If you are looking for a good quality, cheap eats - this is the place.","eats,eats","FOOD,PRICES",quality|place
350,512925:2,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!","place,service","AMBIENCE,SERVICE",dinner|place|service|place
351,513521:2,Drawbacks: service is slow and they don't toast!,service,SERVICE,Drawbacks|service|toast
352,519425:3,The waiter was attentive.,waiter,SERVICE,waiter
353,519425:4,The place itself is beautiful the bar scene seems to be happening.,"place,bar scene","AMBIENCE,AMBIENCE",place|scene
354,527109:0,"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",service,SERVICE,Volare|virgins|regulars|everyone|service
355,527109:3,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,"wine list,meal","FOOD,PRICES",wine|list|meal
356,527109:4,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...","NULL,measures of liquers","PRICES,FOOD",quibbles|bill|measures|liquers|courtesey|house
357,535171:1,Not the typical NYC gimmick theme restaurant.,restaurant,AMBIENCE,gimmick|theme|restaurant
358,541532:0,Cozy romantic atomosphere with only around 15 tables at most.,atomosphere,AMBIENCE,atomosphere|tables
359,558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.","food,decor,food","FOOD,AMBIENCE,PRICES",food|price|decor|place
360,561054:1,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.","main dining room,ceiling","AMBIENCE,AMBIENCE",dining|room|ceiling|world|outside
361,561054:3,"I can't wait for summer, when they serve outside on their gigantic patio.",patio,AMBIENCE,summer|patio
362,565344:1,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,"food,place,food","FOOD,PRICES",place|expectations|food|money
363,584025:1,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,"NULL,outdoor seating","AMBIENCE,AMBIENCE",winter|seating|months
364,584025:2,The food is great and they have a good selecion of wines at reasonable prices.,"food,selecion of wines,selecion of wines","FOOD,FOOD,PRICES",food|selecion|wines|prices
365,620892:3,Ravioli was good...but I have to say that I found everything a bit overpriced.,"Ravioli,NULL","FOOD,PRICES",Ravioli
366,620892:6,"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.","Food,Food","FOOD,PRICES",Food|prices|draw
367,624715:0,This place is a great bargain.,place,PRICES,place|bargain
368,624715:3,Don't waste money on decor.,decor,AMBIENCE,money|decor
369,624715:4,"Just straight up cheap, good food.","food,food","FOOD,PRICES",food
370,626269:2,The design and atmosphere is just as good.,"design,atmosphere","AMBIENCE,AMBIENCE",design|atmosphere
371,626269:3,bottles of wine are cheap and good.,"bottles of wine,bottles of wine","PRICES,FOOD",bottles|wine
372,632121:1,The jukebox plays everything from Italian Opera to The Strokes.,jukebox,AMBIENCE,jukebox|Opera|Strokes
373,657129:3,the drinks are amazing and half off till 8pm.,"drinks,drinks","FOOD,PRICES",drinks|half
374,680390:0,"Toons has recently been redone, so it's now a very attractive space.",Toons,AMBIENCE,Toons|redone|space
375,709294:1,"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",outdoor seating,AMBIENCE,location|delight|seating|yorkie
376,709294:2,Indoor was very cozy and cute.,Indoor,AMBIENCE,Indoor
377,717570:1,The decor is very simple but comfortable.,decor,AMBIENCE,decor
378,720418:4,Great food and the prices are very reasonable.,"food,NULL","FOOD,PRICES",food|prices
379,720620:5,Simply some good tasting Chinese food at incredible prices...,"Chinese food,Chinese food","FOOD,PRICES",tasting|food|prices
380,735448:1,"whoever the jazz duo was, they were on POINT.",jazz duo,AMBIENCE,jazz|POINT
381,735448:2,"good music, great food, speedy service affordable prices.","music,food,service,NULL","AMBIENCE,FOOD,SERVICE,PRICES",music|food|service|prices
382,737999:3,Atmosphere is nice and relaxed too...,Atmosphere,AMBIENCE,Atmosphere
383,740923:2,Price and quality of fish alone will keep us from making a return visit.,"fish,fish,NULL","PRICES,FOOD",Price|quality|fish|return|visit
384,744478:1,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!","decor,food,food,staff,Rice Avenue,Rice Avenue,Rice Avenue","AMBIENCE,FOOD,PRICES,SERVICE,AMBIENCE,AMBIENCE,PRICES",Fabulous|decor|Manhattan|restaurant|food|staff|Manhattanite|Manhattan|Rice|Avenue|home|Soho/Village/Upper|West|Side|prices|clientele|Roosevelt|Avenue
385,746254:4,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.","food,wait-staff,service,management","PRICES,SERVICE,SERVICE,SERVICE",restaurants|food|wait-staff|diner|service|management
386,751493:0,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,"service,food,food","SERVICE,PRICES,FOOD",area|bgel|service|food|side
387,754495:2,The food is okay and the prices here are mediocre.,"food,NULL","FOOD,PRICES",food|prices
388,757762:0,Baluchi's has solid food and a nice decor at reasonable prices.,"food,decor,Baluchi's","FOOD,AMBIENCE,PRICES",Baluchi|food|decor|prices
389,758263:3,$20 for all you can eat sushi cannot be beaten.,all you can eat sushi,PRICES,sushi
390,875139:0,"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.","scene,place,location","AMBIENCE,AMBIENCE,AMBIENCE",Love|scene|place|character|light
391,955711:2,LOVE the atmosphere - felt like I was in Paris.,atmosphere,AMBIENCE,atmosphere|Paris
392,BFC#4:2,It was totally overpriced- fish and chips was about $15.... ,"NULL,fish and chips","PRICES,PRICES",fish|chips
393,EVPK#10:1,I was visiting New York City with a friend and we discovered this really warm and inviting restaurant.,restaurant,AMBIENCE,York|City|friend|restaurant
394,Z#3:1,"The space kind of feels like an Alice in Wonderland setting, without it trying to be that.",space,AMBIENCE,space|kind|Alice|Wonderland|setting
395,Z#3:2,"I paid just about $60 for a good meal, though :)","meal,meal","FOOD,PRICES",meal
396,Y#2:1,"The place is a bit hidden away, but once you get there, it's all worth it.","place,place",AMBIENCE,place
397,TR#3:0,Great place to relax and enjoy your dinner,place,AMBIENCE,place|dinner
398,TR#3:1,There is something about their atmosphere that makes me come back nearly every week.,atmosphere,AMBIENCE,atmosphere|week
399,TM#7:0,Excellent food for great prices,"food,food","FOOD,PRICES",food|prices
400,RL#3:1,"im not necessarily fanatical about this place, but it was a fun time for low pirces.","place,place",PRICES,place|pirces
401,PP#4:4,I thought the restaurant was nice and clean.,"restaurant,restaurant",AMBIENCE,restaurant
402,Y#5:0,overpriced japanese food with mediocre service,"japanese food,service","PRICES,SERVICE",food|service
403,TFS#8:0,"Not because you are ""The Four Seasons""... – you are allowed to charge an arm and a leg for a romatic dinner.",The Four Seasons,PRICES,
404,TFS#8:2,I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.,dinner,PRICES,dinner|Manhattan|feet
405,Y#6:3,"In the summer months, the back garden area is really nice.",back garden area,AMBIENCE,summer|months|garden|area
406,P#10:3,And $11 for a plate of bland guacamole?,"guacamole,guacamole","FOOD,PRICES",plate|guacamole
407,TM#3:3,"The food was good, the place was clean and affordable.","food,place,place","FOOD,AMBIENCE,PRICES",food|place
408,TR#1:3,I highly recommend this beautiful place.,"place,place",AMBIENCE,place
409,TR#8:4,We were offered water for the table but were not told the Voss bottles of water were $8 a piece.,Voss bottles of water,PRICES,water|table|Voss|bottles|water|piece
410,TR#8:6,Nice view of river and NYC.,view of river and NYC,AMBIENCE,view|river
411,CLF#1:0,A beautifully designed dreamy Egyptian restaurant that gets sceney at night.,Egyptian restaurant,AMBIENCE,restaurant|sceney|night
412,CLF#1:2,"Oh, and there's hookah.",hookah,AMBIENCE,hookah
413,P#9:9,"Overall, decent food at a good price, with friendly people.","food,food,people","FOOD,PRICES,SERVICE",food|price|people
414,Z#11:4,Most of the booths allow you to sit next to eachother without looking like 'that' couple.,booths,AMBIENCE,booths|eachother|couple
415,TR#2:2,The high prices you're going to pay is for the view not for the food.,"view,food,NULL","AMBIENCE,FOOD,PRICES",prices|view|food
416,TR#2:7,"oh speaking of bathroom , the mens bathroom was disgusting.",mens bathroom,AMBIENCE,bathroom|mens|bathroom
417,TFS#10:8,Not what I would expect for the price and prestige of this location.,"NULL,location,location","SERVICE,PRICES",price|prestige|location
418,Z#9:0,"short and sweet – seating is great:it's romantic,cozy and private.",seating,AMBIENCE,
419,Z#9:1,The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.,boths,AMBIENCE,boths|reviews|people
420,Z#9:6,So what you really end up paying for is the restaurant not the food.,"restaurant,restaurant,food","PRICES,AMBIENCE,FOOD",restaurant|food
421,NP#3:6,Prices are fair across the board for both food and bev.,"food,bev","PRICES,PRICES",Prices|board|food
422,CLF#5:5,We were drawn into the belly dancing show that captivated the crowd.,belly dancing show,AMBIENCE,belly|dancing|crowd
423,BzG#2:0,"Great place, great value.","place,place",PRICES,place|value
424,BzG#2:1,"The food is flavorful, plentiful and reasonably priced.","food,food,food","FOOD,FOOD,PRICES",food
425,BzG#2:2,The atmosphere is relaxed and casual.,atmosphere,AMBIENCE,atmosphere
426,Z#5:1,Mazing interior.,interior,AMBIENCE,interior
427,Z#5:4,"The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.","atmosphere,scheme of mirrors","AMBIENCE,AMBIENCE",atmosphere|scheme
428,TM#5:3,Helpful service and average price per dish $10.,"service,dish","SERVICE,PRICES",service|price|dish
429,TM#5:4,The only thing that strikes you is the decor?(not very pleasant).,decor,AMBIENCE,decor
430,TVU#6:3,The martinis are amazing and very fairly priced.,"martinis,martinis","FOOD,PRICES",martinis
431,TVU#6:5,"The DJ is awesome, I have been there for my birthday and a bunch of other times with friends and I keep going back.","DJ,NULL",AMBIENCE,birthday|bunch|friends
432,TFS#5:2,But $500 for a dinner for two that didn't include Wine?,dinner for two,PRICES,dinner|Wine
433,TFS#5:7,What you are paying for is the environment and the name.,"environment,NULL,NULL","AMBIENCE,PRICES",environment|name
434,TFS#5:8,"Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.","place,place","AMBIENCE,PRICES",place|uber|whealthy|while
435,TFS#5:21,"I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.","restaurant,restaurant",PRICES,reviews|restaurant
436,TFS#5:23,"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant"".","The Four Seasons,The Four Seasons",PRICES,history|sort|landmark|York|City|restaurants|trust|nose|seasons|restaurant
437,TFS#5:26,The environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts.,"environment,NULL",AMBIENCE,environment|guys|trophy|wives|escorts
438,TFS#5:30,"Service was just ok, it is not what you'd expect for $500.","Service,NULL","SERVICE,PRICES",Service
439,CLF#3:4,I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,"Casa La Femme,Casa La Femme",PRICES,home|Casa|Femme|visit|diners|money
440,CLF#3:11,The place is beautiful!,place,AMBIENCE,place
441,CLF#3:13,"However, our $14 drinks were were horrible!","drinks,drinks","FOOD,PRICES",drinks
442,CLF#3:23,I would not expect this for a $55 dinner.,"dinner,dinner","FOOD,PRICES",dinner
443,CLF#3:28,"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!","food,NULL,NULL","FOOD,PRICES",wallets|stomachs|show|dinner|experience|food|belly|dancers
444,CLF#3:29,If it seemed possible to do so while there I would have fought my bill since my dinner portion of my meal was inedible!,"meal,NULL","FOOD,PRICES",bill|dinner|portion|meal
445,CLF#3:30,"I have never left a restaurant feeling as if i was abused, and wasted my hard earned money.","restaurant,restaurant",PRICES,restaurant|feeling|money
446,BFC#9:21,"All in all the food was good - a little on the expensive side, but fresh. ","food,food","FOOD,PRICES",food|side
447,BG#5:4,"I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.","place,place,chicken tikka masala,feel","PRICES,PRICES,AMBIENCE",price|chicken|tikka|masala|bread|rice|restaurant|place|feel
448,BG#5:7,"But if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for Indian food","Indian food,place","FOOD,PRICES",place|food
449,BG#8:3,The lunch buffet is expensive but is deff worth it.,"lunch buffet,lunch buffet","PRICES,FOOD",lunch|buffet
450,CLF#7:0,Gorgeous place ideal for a romantic dinner,"place,place",AMBIENCE,place|ideal|dinner
451,DBG#7:5,Too bad I had paid an extra $2 for the stone bowl.,stone bowl,PRICES,stone|bowl
452,Z#6:5,"My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!","BBE $29 fixe prix menu,BBE $29 fixe prix menu","PRICES,FOOD",party|fixe|prix|menu|deal|flight|sake
453,Z#6:13,"Maybe it was the great company (I had friends visiting from Philly – yes, it was not a date this time) or the super reasonable price point, but I just can’t say enough good things about this brasserie.","brasserie,brasserie",PRICES,
454,CLF#6:5,"They are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!","service,drinks,pita bread,NULL","SERVICE,PRICES,PRICES,SERVICE",service|bill|drinks|pita|bread
