,tweet,label,polarity
338,I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,OTHERS,negative
339,"upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired even though I had the receipt in front of me proving it still had 2 months left on the warranty.",QUALITY,negative
340,even though I had the receipt in front of me proving it still had 2 months left on the warranty.,QUALITY,negative
341,Dealing with the support drone on the other end of the chat was sheer torture.,QUALITY,negative
342,English must have been his third or fourth language.,QUALITY,negative
343,"His language was so bad I swore I was taking the turing test, and it was failing.",QUALITY,negative
344,after trying to get some help he disconnected on me.,QUALITY,negative
345,"After 4 days, being denied 6 times and told off once, I managed to get through and was able to send them a scanned copy of the receipt.",QUALITY,negative
346,Then they had me jump through many hoops and questions to see if they could find another way to invalidate me.,QUALITY,negative
347,"After they found no other way, they told me to courier it to them(since they don't allow the use of the post office) at my expense, and sent me a 4 page list of very specific packaging instructions to follow or it wouldn't be covered.",QUALITY,negative
348,I managed to comply with these too and now have to wait and see if they can find another way to screw me.,QUALITY,negative
349,They really do have the worlds very worst repair service.,GENERAL,negative
350,"This computer gets very hot, before shutting down.",QUALITY,negative
351,It is not ideal for children because of the temp.,"QUALITY,OTHERS","negative,negative"
352,"I Contacted HP  about this situation and was given excuses, without results.",QUALITY,negative
353,They didn't even try to assist me or even offer a replacement.,QUALITY,negative
354,I will never purchase a HP again ever.,GENERAL,negative
355,"Let's just get this out of the way, I love Apple!",GENERAL,positive
356,But the Macbook is the best!,GENERAL,positive
357,It is super easy to use.,OTHERS,positive
358,All you have to do is turn it on and it works.,"OTHERS,OPERATION_PERFORMANCE","positive,positive"
359,"It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.",QUALITY,positive
360,"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.",OTHERS,neutral
361,In the past four years I've had it I have never once gotten a virus.,QUALITY,positive
362,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.","QUALITY,OPERATION_PERFORMANCE","neutral,positive"
363,"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.","OTHERS,DESIGN_FEATURES,GENERAL","positive,positive,positive"
364,"Also it is very good for college students who just need a reliable, easy to use computer.","OTHERS,QUALITY,OTHERS","positive,positive,positive"
365,This laptop does everything I need it to very well.,GENERAL,positive
366,The best thing about this laptop is the price along with some of the newer features.,"OTHERS,DESIGN_FEATURES","positive,positive"
367,The screen is bright and the keyboard is nice;,"QUALITY,GENERAL","positive,positive"
368,I find myself using the 10-key more than I thought I would.,"DESIGN_FEATURES,OTHERS","positive,positive"
369,Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,OPERATION_PERFORMANCE,neutral
370,For those that care about noise this thing doesn't really make any;,QUALITY,positive
371,the i3 processor doesn't seem to run hot and the fan rarely turns on.,QUALITY,positive
372,I took off a star because the machine has a lot of junk software on it.,"DESIGN_FEATURES,GENERAL","negative,negative"
373,I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.,DESIGN_FEATURES,negative
374,Once I removed all the software the laptop loads in 15-20 seconds.,"GENERAL,OPERATION_PERFORMANCE","negative,neutral"
375,This is not a serious gaming laptop or a serious media machine;,OTHERS,negative
376,my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,"OTHERS,DESIGN_FEATURES","neutral,neutral"
377,Overall I am very satisfied with the purchase.,GENERAL,positive
378,"Great, quick laptop for the money.","GENERAL,OTHERS,OPERATION_PERFORMANCE","positive,neutral,positive"
379,Right size and weight for portability.,"DESIGN_FEATURES,OTHERS","positive,positive"
380,Battery life needs more life.,OPERATION_PERFORMANCE,negative
381,Battery is not upgradable to a longer life battery.,OTHERS,negative
382,I love everything about it.,GENERAL,positive
383,The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.,OPERATION_PERFORMANCE,negative
384,I would like at least a 4 hr. battery life.,OPERATION_PERFORMANCE,negative
385,"Otherwise, all other features are a 1",DESIGN_FEATURES,positive
386,This mac is great!,GENERAL,positive
387,"lightweight, long battery life, excellent transition from PC;","DESIGN_FEATURES,OPERATION_PERFORMANCE,OTHERS","positive,positive,positive"
388,THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.,QUALITY,negative
389,"I will NEVER buy (Refurbished) again, I don't cae how cheap it is.",OTHERS,negative
390,Just don't waste your time and money on this.,GENERAL,negative
391,"I tried giving it 0 stars but I had to choose at least one, but IMO NO STARS",GENERAL,negative
392,Summary: Dont buy HP.,GENERAL,negative
393,"If you buy, pray you dont have major prolems.",GENERAL,negative
394,Runs Hot,QUALITY,negative
395,I thought we were paying for quality in our decision to buy an Apple product.,"GENERAL,QUALITY","negative,negative"
396,"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",QUALITY,negative
397,"This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",DESIGN_FEATURES,positive
398,Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.,GENERAL,positive
399,Now they are believers in the product.,GENERAL,positive
400,"It is easy to use, has great screen quality, and every so light weight.","OTHERS,QUALITY,DESIGN_FEATURES","positive,positive,positive"
401,This little netboook is helping me get work done!,GENERAL,positive
402,I homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat.,OTHERS,positive
403,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,"DESIGN_FEATURES,OTHERS","positive,positive"
404,"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;","OPERATION_PERFORMANCE,DESIGN_FEATURES,OPERATION_PERFORMANCE,OTHERS","positive,positive,positive,positive"
405,The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.,"QUALITY,GENERAL","positive,positive"
406,"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.",OTHERS,neutral
407,"previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.","DESIGN_FEATURES,OPERATION_PERFORMANCE","positive,positive"
408,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.","OPERATION_PERFORMANCE,GENERAL","neutral,positive"
409,"Probably as good as you can get in a netbook, does everything I ask for and has some very good unexpected pluses.","GENERAL,DESIGN_FEATURES","positive,positive"
410,Has met or exceeded my needs for a compact travel device.,"OTHERS,OTHERS","positive,positive"
411,"So far, so good!",GENERAL,positive
412,I've been impressed with the battery life and the performance for such a small amount of memory.,"OPERATION_PERFORMANCE,OPERATION_PERFORMANCE,DESIGN_FEATURES","positive,positive,neutral"
413,I don't understand why only Windows 7 Starter is included.,DESIGN_FEATURES,negative
414,Strong performance in this device makes use of fun and a strong sense of the era of speed,OPERATION_PERFORMANCE,positive
415,This device serves all modern requirements is a very strong game and is very useful for designers.,"GENERAL,OTHERS","positive,positive"
416,Enjoy that Toshib force and durability unparalleled,"OPERATION_PERFORMANCE,QUALITY","positive,positive"
417,"Needs longer lasting battery, More than 1 to 2 Hrs.",OPERATION_PERFORMANCE,negative
418,"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.","OPERATION_PERFORMANCE,DESIGN_FEATURES","neutral,negative"
419,For the use it was purchased for it is a good Laptop.,OTHERS,positive
420,Comfterbale to use light easy to transport.,"OTHERS,DESIGN_FEATURES,OTHERS","positive,positive,positive"
421,"I love this product because it is Toshiba and its 15.6"".","GENERAL,DESIGN_FEATURES,GENERAL","positive,positive,positive"
422,"It has no camera but, I can always buy and install one easy.",DESIGN_FEATURES,neutral
423,"I had a USB connect but, i can't use it because it is not compatible.",OTHERS,negative
424,That's the downside for me.,OTHERS,negative
425,"But, I would recommend this product.",GENERAL,positive
426,Satisfy what I paid for it.,"GENERAL,OTHERS","positive,neutral"
427,Good monitor and performed well.,"GENERAL,OPERATION_PERFORMANCE","positive,positive"
428,I am using the external speaker- sound is good.,QUALITY,positive
429,Best thing is I can use existing 32 bit old programs.,OTHERS,positive
430,I recommend for word processing and internet users.,OTHERS,positive
431,The games included are very good games.,GENERAL,positive
432,I would highly recommend this one to my friends,GENERAL,positive
433,I bought this laptop because of the performance to price ratio.,"OPERATION_PERFORMANCE,OTHERS","positive,positive"
434,"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.",OTHERS,positive
435,"It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.","DESIGN_FEATURES,OTHERS","neutral,positive"
436,This computer I used daily nice compact design.,"DESIGN_FEATURES,OTHERS","positive,positive"
437,Excellent speed for processing data.,OPERATION_PERFORMANCE,positive
438,And if you are a game player it works with World Of Warcraft wonderfully.,OTHERS,positive
439,All in all great item highly recommend it.,GENERAL,positive
440,i would have to say that overall its great!,GENERAL,positive
441,"Aside from the trial software and the short battery life, lack of a webcam, its great.","OTHERS,OPERATION_PERFORMANCE,DESIGN_FEATURES,GENERAL","negative,negative,negative,positive"
442,"Fast, great visual!","OPERATION_PERFORMANCE,QUALITY","positive,positive"
443,"Oh yea, has no numeric pad on the side.",DESIGN_FEATURES,negative
444,2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,"GENERAL,QUALITY","positive,neutral"
445,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,"DESIGN_FEATURES,OTHERS","neutral,positive"
446,Great wifi too.,OTHERS,positive
447,"The screen is a little glary, and I hated the clicking buttons, but I got used to them.","QUALITY,OTHERS","negative,neutral"
448,Overall for the money this is a good deal.,"GENERAL,OTHERS","positive,neutral"
449,There is no number pad to the right of the keyboard which is a bummer.,DESIGN_FEATURES,negative
450,The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.,"GENERAL,QUALITY","negative,negative"
451,"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.","GENERAL,QUALITY","neutral,negative"
452,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.","GENERAL,DESIGN_FEATURES,GENERAL","positive,positive,positive"
453,"The battery life has not decreased since I bought it, so i'm thrilled with that.","OPERATION_PERFORMANCE,QUALITY","positive,positive"
454,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.","DESIGN_FEATURES,QUALITY","positive,positive"
455,I would easly reccomend this laptop to a friend.,GENERAL,positive
456,Couldnt not use it.,OTHERS,negative
457,Tried to make a recovey disk wouldnt get passed the first recovery disk.,OTHERS,negative
458,defective software.,QUALITY,negative
459,returned it to walmart.,GENERAL,negative
460,I would like to have volume buttons rather than the adjustment that is on the front.,DESIGN_FEATURES,negative
461,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,OPERATION_PERFORMANCE,negative
462,I went to Toshiba online help and found some suggestions to fix it.,QUALITY,positive
463,One of them seems to have worked.,QUALITY,positive
464,Its a good laptop for its value.,"GENERAL,OTHERS","positive,neutral"
465,Registration/1st use is easy.,OTHERS,positive
466,Features like the font are very block-like and old school.,DESIGN_FEATURES,negative
467,"Would like more trendy, high tech features.",DESIGN_FEATURES,negative
468,The start menu is not the easiest thing to navigate due to the stacking.,OTHERS,negative
469,Keys stick periodically and I havent had the laptop for 45 days yet.,"OPERATION_PERFORMANCE,QUALITY","negative,negative"
470,Came fully loaded - good.,DESIGN_FEATURES,positive
471,"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.",OPERATION_PERFORMANCE,positive
472,I'm really impressed with the quality and performance for the price of the computer.,"QUALITY,OPERATION_PERFORMANCE,OTHERS","positive,positive,neutral"
473,"Graphics are clean and sharp, internet interfaces are seamless.","QUALITY,OTHERS","positive,positive"
474,"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.","OPERATION_PERFORMANCE,DESIGN_FEATURES","negative,neutral"
475,Sound card is limited though.,DESIGN_FEATURES,negative
476,"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.","DESIGN_FEATURES,OTHERS","positive,positive"
477,It is small enough to fit in one of my purses!,DESIGN_FEATURES,positive
478,"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.","GENERAL,OTHERS","positive,neutral"
479,"The battery life is amazing, the versitility is outstanding.","OPERATION_PERFORMANCE,OTHERS","positive,positive"
480,The ease of set up was terrific.,OTHERS,positive
481,I was even able to uninstall McAffe and install one of my Symantec licenses with a no issues whatsoever.,OTHERS,positive
482,"I had to adjust my mousepad sensitivity, because it is very sensitive.",OPERATION_PERFORMANCE,negative
483,"Keyboard is great, very quiet for all the typing that I do.","GENERAL,QUALITY","positive,positive"
484,"Screen is crystal clear, yes it's small - but it's a netbook!","QUALITY,DESIGN_FEATURES","positive,neutral"
485,Awesome laptop and the perfect size to carry around in college.,"GENERAL,DESIGN_FEATURES,OTHERS","positive,positive,positive"
486,I couldn't believe how long the battery lasted on a single charge.,OPERATION_PERFORMANCE,positive
487,I loaded windows 7 via Bootcamp and it works flawlessly!,OPERATION_PERFORMANCE,positive
488,Simply amazing computer!!,GENERAL,positive
489,"I really like the Mac 15.4in. Notebook, but its very pricey.","GENERAL,OTHERS","positive,negative"
490,"Love the graphics, awesome programs (including Garageband), and really cool default background.","GENERAL,DESIGN_FEATURES,GENERAL","positive,positive,positive"
491,"But, like I said before, the only reason I don't currently have a Mac laptop is because all of their laptops are too pricey.",OTHERS,negative
492,"Waiting for the i7 was well worth it, great value for the price.","GENERAL,OTHERS","positive,neutral"
493,"Bigger HD, better graphics card, and a bid HD.","DESIGN_FEATURES,GENERAL","positive,positive"
494,There is nothing to complain about the system.,GENERAL,positive
495,I have used PC's and converting to this MacBook Pro was easy.,OTHERS,positive
496,If you have the money I suggest going for the i7.,GENERAL,positive
497,I occassionaly use it for work via VPN and it has not given me any problems.,OTHERS,positive
498,"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.","GENERAL,QUALITY,QUALITY,DESIGN_FEATURES","positive,positive,positive,positive"
499,I consider myself an average user and this computer serves my need.,GENERAL,positive
500,The price is another driving influence that made me purchase this laptop.,OTHERS,positive
501,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.","QUALITY,DESIGN_FEATURES,OTHERS","positive,positive,positive"
502,I normally dont participate in reviews/surveys but this laptop has not given me any problems and hope to share my thoughts...,GENERAL,positive
503,another satisfied customer.,GENERAL,positive
504,The apple MacBook is the best investment that I have ever made.,GENERAL,positive
505,The newer MacBook that I have purchased is one of the best computers.,GENERAL,positive
506,I am a college student and it has been very useful.,OTHERS,positive
507,It has all the features that are necessary for college and if not they are able to be added onto the computer.,"DESIGN_FEATURES,OTHERS,OTHERS","positive,positive,positive"
508,It has a lot of memory and a great battery life.,"DESIGN_FEATURES,OPERATION_PERFORMANCE","positive,positive"
509,It is sleek and lightweight and charges quickly when needed.,"DESIGN_FEATURES,OPERATION_PERFORMANCE","positive,positive"
510,Its white color is stylish for college students and easy to take to carry and take to classes.,"DESIGN_FEATURES,OTHERS","positive,positive"
511,Iphoto is great for adding pictures right to facebook and other social networking sites.,OTHERS,positive
512,The internet capabilities are also very strong and picks up signals very easily.,OTHERS,positive
513,I have never had to shut down the computer unexpectedly and the computer has never froze on me.,OPERATION_PERFORMANCE,positive
514,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.","QUALITY,OTHERS","positive,positive"
515,"Overall, this is a wonderful computer and definitly worth the purchase!",GENERAL,positive
516,The graphics are stunning.,GENERAL,positive
517,It's wonderful for computer gaming.,OTHERS,positive
518,I would definitely suggest this laptop!,GENERAL,positive
519,It is very user friendly and not hard to figure out at all.,OTHERS,positive
520,"It has many great programs, such as ILife, iPhotos and others.","DESIGN_FEATURES,GENERAL","positive,positive"
521,iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,OTHERS,positive
522,"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.","DESIGN_FEATURES,OTHERS","positive,positive"
523,This comes in very handy for me as an educator.,OTHERS,positive
524,iPhotos is an excellent program for storing and organizing photos.,OTHERS,positive
525,It allows you to automatically upload photos to your Facebook account with one click.,OTHERS,positive
526,"In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.",DESIGN_FEATURES,positive
527,"If you are looking for something reliable, this is the laptop for you.",QUALITY,positive
528,This computer was awful!,GENERAL,negative
529,I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,"GENERAL,OPERATION_PERFORMANCE,QUALITY","negative,negative,negative"
530,The computer first started malfunctioning 3 months after purchasing it.,"OPERATION_PERFORMANCE,QUALITY","negative,negative"
531,It does not keep internet signals no matter where you bring it.,OTHERS,negative
532,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.","QUALITY,OPERATION_PERFORMANCE","negative,negative"
533,"When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it.",QUALITY,negative
534,"One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it.",QUALITY,negative
535,"This computer was awful, I would never recomend it to another person.",GENERAL,negative
536,Those moments in thime where you want to throw something against the wall?,GENERAL,negative
537,"Yeah, I wanted to throw that lap top out the window and light it on fire.",GENERAL,negative
538,That's how frustrating it was.,GENERAL,negative
539,"It is well worth the money it cost, Very good investment.","GENERAL,OTHERS","positive,positive"
540,The new Macbook Pro 15 inch i7 is nothing short of amazing.,GENERAL,positive
541,The speed is incredible and I am more than satisfied.,OPERATION_PERFORMANCE,positive
542,"BOUGHT FROM WAL-MART, I BELIEVE THAT THIS LAPTOP WAS A REPAIRED ITEM.",OTHERS,neutral
543,THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.,"QUALITY,GENERAL","negative,negative"
544,NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.,GENERAL,negative
545,WILL NOT EVERY BUY ANOTHER--------LOU,GENERAL,negative
546,This is a great value for the money.,"GENERAL,OTHERS","positive,neutral"
547,This is a great computer.,GENERAL,positive
548,We haven't had any problems with it at all.,GENERAL,positive
549,The body is a bit cheaply made so it will be interesting to see how long it holds up.,QUALITY,negative
550,"Overall though, for the money spent it's a great deal.","GENERAL,OTHERS","positive,positive"
551,"But let me tell you, the mac book pro is so professional.",GENERAL,positive
552,Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,"GENERAL,DESIGN_FEATURES","positive,positive"
553,"For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.",DESIGN_FEATURES,positive
554,It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,"OTHERS,QUALITY,DESIGN_FEATURES","positive,positive,positive"
555,"Oh, it is such a great piece of equipment.",GENERAL,positive
556,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.","OTHERS,DESIGN_FEATURES,OPERATION_PERFORMANCE","positive,neutral,neutral"
557,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.","DESIGN_FEATURES,OTHERS","positive,positive"
558,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,OPERATION_PERFORMANCE,positive
559,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.","OTHERS,OPERATION_PERFORMANCE","neutral,positive"
560,"I play a lot of casual games online, and the touchpad is very responsive.",OPERATION_PERFORMANCE,positive
561,"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.","OTHERS,OPERATION_PERFORMANCE,OTHERS","positive,positive,positive"
562,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,DESIGN_FEATURES,negative
563,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,DESIGN_FEATURES,neutral
564,Everything from the design to the OS is simple and to the point.,"DESIGN_FEATURES,GENERAL,GENERAL","positive,positive,positive"
565,LOVE IT LOVE IT LOVE IT!,GENERAL,positive
566,It really is perfect for work and play.,OTHERS,positive
567,I am able to play 720p and 1080p media files just fine with it.,OTHERS,positive
568,Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,"OPERATION_PERFORMANCE,OPERATION_PERFORMANCE","positive,positive"
569,"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",QUALITY,negative
570,"I upgraded it's RAM to 2GB, I am very happy with it.","GENERAL,DESIGN_FEATURES","positive,neutral"
571,lots of preloaded software.,DESIGN_FEATURES,neutral
572,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.","DESIGN_FEATURES,OPERATION_PERFORMANCE","negative,negative"
573,"tosiba has a good reputation, my llast computer was an acer.",GENERAL,positive
574,this is starting off good.,GENERAL,positive
575,What a great little laptop.,GENERAL,positive
576,Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,"DESIGN_FEATURES,OPERATION_PERFORMANCE","neutral,positive"
577,I bought it to use in college and it is perfect.,OTHERS,positive
578,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,OPERATION_PERFORMANCE,positive
579,I made a perfect decision when I bought the Toshiba!,"GENERAL,GENERAL","positive,positive"
580,Excellent product for the money.,"GENERAL,OTHERS","positive,neutral"
581,"No problems, no lock ups, no disappointments.","OPERATION_PERFORMANCE,GENERAL","positive,positive"
582,"Not super fancy, but not super expensive either.","DESIGN_FEATURES,OTHERS","neutral,neutral"
583,Highly recommend for daily use.,OTHERS,positive
584,The Computer itself is a good product but the repair depot stinks.,"GENERAL,QUALITY","positive,negative"
585,I have had to send in my laptop three times to get it fixed.,QUALITY,negative
586,Toshiba does not send any one out unless you have paid extra to have the on site repair done.,QUALITY,negative
587,I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.,QUALITY,negative
588,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,"QUALITY,OPERATION_PERFORMANCE","negative,negative"
589,As well as having the plug in the computer come loose.,QUALITY,negative
590,So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.,QUALITY,negative
591,It still seems to be a little lose now but so far seems to be hanging in there.,QUALITY,negative
592,The Mac Book Pro performs flawlessly.,OPERATION_PERFORMANCE,positive
593,"Never had a single problem, and don't have to worry about viruses.","GENERAL,QUALITY","positive,positive"
594,"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",OTHERS,positive
595,Worth the investment and truly a fine piece of equipment.,GENERAL,positive
596,"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).","GENERAL,OTHERS","positive,positive"
597,"It even has a great webcam, and Skype works very well.","DESIGN_FEATURES,GENERAL,OPERATION_PERFORMANCE","positive,positive,positive"
598,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,GENERAL,positive
599,"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.",GENERAL,negative
600,"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.","GENERAL,OTHERS,OPERATION_PERFORMANCE,GENERAL","negative,positive,positive,positive"
601,"This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.",OTHERS,positive
602,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).","OTHERS,OPERATION_PERFORMANCE","positive,positive"
603,"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.","GENERAL,GENERAL","positive,positive"
604,little short on RAM but you get what you pay for.,DESIGN_FEATURES,neutral
605,"the hinge design forced you to place various connections all around the computer, left right and front.","DESIGN_FEATURES,OTHERS","negative,negative"
606,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.","DESIGN_FEATURES,OTHERS,DESIGN_FEATURES,OTHERS","negative,negative,negative,negative"
607,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,"DESIGN_FEATURES,OTHERS","negative,negative"
608,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.","GENERAL,OTHERS,DESIGN_FEATURES,GENERAL","positive,negative,negative,negative"
609,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,"GENERAL,GENERAL","positive,negative"
610,The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,"QUALITY,QUALITY","positive,negative"
611,They were totally unconcerned that the computer was not correctly repaired in the first place.,QUALITY,negative
612,The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.,QUALITY,negative
613,The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.,QUALITY,negative
614,Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.,QUALITY,negative
615,And Toshiba is totally unconcerned.,QUALITY,negative
616,The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,QUALITY,negative
617,We don't Mind and You don't Matter.,QUALITY,negative
618,I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.,"GENERAL,GENERAL","negative,negative"
619,When it come time for warranty service to Toshiba you don't matter.,QUALITY,negative
620,Windows Vista makes this computer almost unusable for online service.,"GENERAL,OTHERS","negative,negative"
621,I've tried going back to XL but there still problems.,OTHERS,negative
622,The technical service for dell is so 3rd world it might as well not even bother.,QUALITY,negative
623,Just a bunch of idiots who's English as a 5th language is forced at best.,QUALITY,negative
624,I'm all for saving money but Dell needs to step it up.,GENERAL,negative
625,Good price.,OTHERS,positive
626,Basic computer.,OTHERS,neutral
627,Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).,OTHERS,neutral
628,It has worked fine.,OPERATION_PERFORMANCE,positive
629,Handles all my basic media needs easily.,OTHERS,positive
630,Can listen to my music and watch my videos with ease and with a great display.,"GENERAL,OTHERS","positive,positive"
631,It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,"OPERATION_PERFORMANCE,OTHERS","positive,positive"
632,It's a great prodcut to handle basic computing needs.,OTHERS,positive
633,It has served my needs quite nicely for the most part.,GENERAL,positive
634,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.","DESIGN_FEATURES,OPERATION_PERFORMANCE","positive,positive"
635,My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.,QUALITY,negative
636,"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.","QUALITY,OTHERS","negative,negative"
637,"Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.","OTHERS,OTHERS","positive,neutral"
638,Let me start with the good:So awesome.,GENERAL,positive
639,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.","GENERAL,OPERATION_PERFORMANCE,DESIGN_FEATURES","positive,positive,positive"
640,This one has had the same effect.,GENERAL,positive
641,"The improvements to the OS have been relatively gradual, but substantive.",GENERAL,positive
642,"The Unibody construction is solid, sleek and beautiful.","DESIGN_FEATURES,QUALITY","positive,positive"
643,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.","DESIGN_FEATURES,QUALITY","positive,positive"
